Liczba,Tweet,Label,,,
40," Narodowość zgodnie z definicją GUS: „Jest to deklaratywna (oparta na subiektywnym odczuciu) indywidualna cecha każdego człowieka, wyrażająca jego związek emocjonalny, kulturowy lub wynikający z pochodzenia rodziców, z określonym narodem lub wspólnotą etniczną.”",0.0,,,
41,"  Preferuje neomarksistowski, btw to ja Gus, założyłem nowe konto bo stare mi sie znudziło.",0.0,,,
42,Człowieku  jest coś takiego jak GUS on Ci wszystko powie,0.0,,,
43,"           Każdy dorosły. Osoby niepełnoletnie MOGĄ się również spisać, ALE TYLKO I WYŁĄCZNIE w ramach kwestionariusza osobowego opiekuna prawnego tejże osoby. Pozdrowienia",0.0,,,
44,"           Panie Łukaszu pod pojęciem kto może się spisać-każdy, rozumiem każdy dorosły. Pytam dla pewności, bo nr PESEL mamy od urodzenia.",0.0,,,
45," Dobrze powiedziane, Flor!!! ",1.0,,,
46,Nadal nie wiem jakiej jestem orientacji... idk.,0.0,,,
47,"      To była kradzież. Środki z OFE mogły być dziedziczone w całości i w całości wypłacone. Środki z ZUS nie mogą być wypłacone. Dlatego że w ogóle nie służą Twojej emeryturze. Są zapisem księgowym, którego wartość nie jest gwarantowana. Jest zależna od statystyki GUS i wzrostu PKB",-1.0,,,
48,18/ uczę się,0.0,,,
49,"  Próg maturalny nie istnieje, biorą wszystkich którzy zrobią teczkę. Angielskie są trochę bardziej ogarnięcie poprowadzone niż polskie, ale trzyma poziom. 3d nadal maya, pakiet adobe i jest kilku wykładowców z asp ktorzy są Dziwni(tm).",-1.0,,,
50," Gdy z PKB odejmie się obrót gospodarczy wykazywany w statystykach GUS a mający ścisły związek z wyłudzeniami VAT, wówczas ""zielona wyspa"" okaże się fikcją...",-1.0,,,
51,"    GUS wlicza do swoich statystyk większą liczbę osób bez pracy, co nie zmienia faktu, że urzędy pracy w Polsce są tak odpychające, że mało kto się w nich rejestruje.",0.0,,,
52,Chcesz kilka przecinków? Może też kilka lekcji ojczystego języka? Polaku?,-1.0,,,
53,Oczywiście że monitorowana jest ilość zgonów. GUS podaje ilość zgonów w tygodniu. Średnio to 1200. W sezonie grupowym maksymalnie 1500 w latach poprzednich. W wypadku szczytu zachorowań na Covid było to 2200-2400. Niespotykana od 1945 ilość zgonów w miesiącu. Ponad 2xwięcej od śr,0.0,,,
54,osoby legitymujacy sie niebieska flaga nigdy nie byli wolni nie sa i nie beda to zaraza która zawsze musi miec nad soba bata dawniej wschodni czerwony teraz zachodni defacto czerwony w nowej odslonie MAMY WAS DOSC,-1.0,,,
55,"   Czytaj że zrozumieniem.  Obligacje państwowe są inwestycja o gwarantowanym zwrocie Pisałem o tym co miało by być wypłacone mi, przyszłemu emerytowi. Nie są one zależne od a) wzrostu PKB b) długości życia wg GUS c) wzrostu / spadku PKB Proste?",0.0,,,
57,"     A czy GUS wziął pod uwagę w danych ogromną liczbę chorujących na inne poważne schorzenia jeszcze przed tą plandemia, którzy nie mogli się dalej leczyć bo szpitale pozamykane były a specjaliści medyczni zatrudnili się w Call Center? Chorzy umierali w karetkach. Tak w skrócie.",-1.0,,,
58,Skutki wyniszczającej polityki tych ludzi będziemy odczuwać latami. To nie jest porażka. To jest Wielka Narodowa Katastrofa.  Największa liczbęa zgonów od czasów II wojny światowej (dane GUS) i druga największa w Europie liczba nadmiarowych zgonów (dane Eurostat za 2020 rok).,-1.0,,,
59,"Hm... nie wiem, czy kogoś obchodzę. ",0.0,,,
60,Szczęścia!,1.0,,,
61,"    I to całkowity przypadek, że w Polsce w 2020 zmarło najwięcej ludzi od Drugiej Wojny ?  Tu masz porównanie GUS z 10 lat. Pisostwo Ci zablokowało myślenie, czy masz zlecenie na takie durne wpisy?  ",-1.0,,,
62,"Hej, życzę wam miłego dnia! ",1.0,,,
63," Nawzajem, Flor! x",1.0,,,
64,Wolałbym się edukować z wiarygodnego źródła niż z wikipedii.,0.0,,,
65,Pragnąłbym zobaczyć statystyki do dzisiaj miesiąc w miesiąc. Strasznie nierychliwy ten GUS w publikowaniu danych o przyczynach zgonów i proporcjach U/Ś zaostatni rok. Jakby nagle to stało się trudniejsze niż przed laty.,-1.0,,,
66,"    W 2018r. były dwa potwierdzone, niezwiązane ze sobą ataki na człowieka w Polsce (pogryzienie). Wg GUS liczebność na koniec 2018 to 2868 osobników. Jedna wataha (średnio 4-6 osobników) kontroluje obszar 200-300km2. Obszar lasów Puszczy Kampinoskiej to ok 270km2.  ",0.0,,,
67,Miłego odpoczynku! GUS,1.0,,,
68,Polska w rozkwicie PO ?Raport GUS o jakości życia w Polsce podsumowaniem rządów PO-PSL,0.0,,,
69,"Szkoda, że na fb nie mogę używać męskich zaimkow...",0.0,,,
70,Tam było brązowe serduszko. Może masz jakiś inny model telefonu? Że tej emotki nie widzisz? Czy coś?,0.0,,,
71,2/2 żaden inny europejski kraj nie odnotował takiego odpływu siły roboczej jak Polska. To są dane GUS.,0.0,,,
72,Raczej 1/2 obwodu w pasie vs powierzchnia okna vs powierzchnia dachu. I jakis minus na schron czyli ściany. Podałem tylko wybiurcze dane jak GUS.,-1.0,,,
73,"GUS: Produkcja przemysłowa w IV rdr wzrosła o 5,4 proc. vs konsensusu wzrostu o 4,9 proc. gospodarka polska",0.0,,,
74,GUS: Polska się wyludnia - Wprost 24,1.0,,,
75,Nowy boom mieszkaniowy Polska GUS deweloperzy budownictwo Warszawa,0.0,,,
76,"Polska gospodarka rozwija się ekstensywnie: Z danych GUS za III kwartał wynika, że gospodarka…",0.0,,,
77,"   Mam pytanie. Co mam powiedzieć  2 x w roku gdy pytają mnie o wielkość gospodarstwa. Mam podać dane, które wynikają z podatku rolnego czy realne grunty, na których podejmuje decyzję o profilu produkcji?",0.0,,,
78,_STAT PiS tylko kłamie,-1.0,,,
79,"   Odważę się zaatakować dane z głowinki Olgi wykorzystując dane GUS i opinie byłych pracowników LOT, zlikwidowanej stoczni czy zatrudnionych w usługach.",-1.0,,,
80,Szkolenie dla rachmistrzów spis  Nie wchodź na libacje a u respondenta na kanapie rób ćwiczenia oddechowe,0.0,,,
81,"Przypominam, że mój profil jest trans friendly dla osób trans, genderfluid, agender, etc.   Trans ludki to kochane osóbki, niesamowite osoby.   Jeśli bym w czymś pomylił w czyiś zaimkach, to informujcie mnie, oki? :(",1.0,,,
82," Woda, herbata, kawa i jakiś soczek ewentualnie.",0.0,,,
83,500+ to efektywny i prosty czyli tani w obsłudze sposób wzmacniania zrównoważonej konsumpcji i trwałe wyrwanie z biedy miliona dzieci. pronatalistyczna rola też działa. Wykazywał to  że w 2020 szliśmy scenariuszem optymistycznym GUS. Ulgi w PIT to kosztowny archaizm.,0.0,,,
85,"Kasta naprawdę istnieje - to kasta osób związana z PiS, która twierdzi, że Polska stoi inwestycjami. I tu się nie mylą, pomimo danych GUS. Transfer miliardów złotych do własnych rodzin pozwala im prowadzić bardziej lub mniej trafne inwestycje. DojnaZmiana",-1.0,,,
86,Czyli ok. 55 000. Tak dla porównania według GUS  zawód lekarzy w Polsce na koniec 2019 roku bylo 140 000.  I co Wy na to? Ja powiem qu...a mać! Zespół tourette'a jak Obajtek!,-1.0,,,
87,"      Oni myślą,  że te 500 zł wszystko załatwia .",-1.0,,,
88,"             Ile wspólnego z rzeczywistością ma komunikowanie, że szczepimy osoby przewlekle chore z dużym ryzykiem zgonu jeśli dotyczy to &lt;5% zagrożonych?  Z danych GUS można oszacować, że  TYLKO w przedziale wiekowym 20-59  jest ok. 4mln chorych na choroby wymienione w NPS",0.0,,,
89,Fałsz. GUS_STAT,0.0,,,
90,"To, co obserwujemy w krótkim terminie względem prognoz GUS, to odwrotność tego stwierdzenia. Opcji, że luka demograficzna skurczy się, nikt nie przewiduje.",0.0,,,
91,"Rynek odczytal rewizje projekcji NBP i mniej pesymistyczny komunikat jako dużą jastrzębią zmianę. Przesadna reakcja, w piątek prezes przypomni że stopy długo bez zmian, może GUS da chwilowy spadek CPI (rewizja koszyka), ale takie są nastroje globalne,...  ",0.0,,,
92,Może pójdę dzisiaj do sklepu i kupić te oreo--,0.0,,,
93,Niedobrze  Polska gospodarka pędzi jak błyskawica. GUS podał najnowsze szacunki,0.0,,,
94," Stwierdzenie, że za rządów PiS ubóstwo wśród dzieci zostało zlikwidowane, jest nieuzasadnione.  O ubóstwie dzieci  z  mówił w wywiadzie dla  w programie .   Fałsz   ℹ   FactCheck PolitycyPodKontrolą 3/3  ",-1.0,,,
95,Pomiędzy 2014 a 2019 rokiem ubóstwo skrajne wśród osób w wieku 0-17 lat spadło o 56 proc. W przypadku ubóstwa relatywnego nastąpił spadek o 34 proc. Z kolei ubóstwo ustawowe zmniejszyło się o 36 proc.   Fałsz   ℹ   FactCheck PolitycyPodKontrolą 2/3,0.0,,,
96,Wg danych  z 2019: ubóstwo skrajne wciąż dotyka ponad 312 tys. dzieci. Ubóstwem ustawowym zagrożonych jest ok. 847 tys. Polaków poniżej 18. roku życia. Najwięcej – 993 tys. – jest dotkniętych ubóstwem relatywnym.   Fałsz   ℹ   FactCheck  1/3,0.0,,,
97,"     No dobrze, stłoczmy starszych ludzi w kolejkach do lekarzy w przychodniach. Oczywiscie bez masek, skoro normalnosc. Uważasz że pozytywnie by to wpłynęło na zakażenia i smiertelnosc ?  Dane GUS jasno pokazują związek między liczbą zgonów nadmiarową, a zwiększonymi stat. zakażeń",-1.0,,,
98,"    Ciekawy też wysoki % nierynkowych czynszów - pokrywa się z mieszkaniami komunalnymi w GUS - nie mamy więc ich wcale mało tylko mają tak preferencyjne czynsze i brak weryfikacji, że nikt ich nigdy nie zwalnia. Ale recepta Śpiewaka to zawsze budowa kolejnych mieszkań dla wybranych.  ",0.0,,,
99,"***** ***, konfederację i Terfów, terfiarki",-1.0,,,
100," Nawzajem, bub! ",1.0,,,
101,"  panowie inflacja na poziomie konkretów jest bardzo bolesna i odbiega znaczaco od statystyk GUS, w styczniu lutym stal do produkcji maszyn rolniczych podrozała 35 -45 % w zaleznosci od asortymentu rok do roku",0.0,,,
102,Gaz 100% w górę-tak planuja bo słuchają się UE. Oczywiście w sprawach w których opłaca się jej słuchać bo  słuch mają wybiórczy.Nie pojmuję czemu dziennikarze nie zajmują się problemem inflacji i nie tłumaczą tego suwerenowi. Tej realnej a nie tych kocupałów podawanych przez GUS?,-1.0,,,
103,Wszystkiego najlepszego!!!!,1.0,,,
104," Ja korzystam z danych GUS dla powiatów i potem agreguje do poziomu województw, obszarów NUTS itd.",0.0,,,
105,Czego koszyk GUS nie widzi temu NBP nie szkoda,0.0,,,
106,"Dzien dobry wszystkim! Mam nadzieję, że miko spędzicie ten dzień! &lt;3  ",1.0,,,
107,"AK-U/m Wiecie co to? Ankieta koniunktury gospodarczej dla GUS. Sukinsyny chcą wiedzieć jak prosperujemy i co nam ogranicza działalność  Nie CO, tylko KTO powinno być. A i jeszcze jaką mamy prognozę gosp. Jak qrwa można coś prognozować przy tym nie-rządzie?!   ***** ***",-1.0,,,
108,Oficjalne dane GUS o liczbie ludności w Polsce według stanu na 31 grudnia 2020 r.,0.0,,,
109,UwU gracias,1.0,,,
110,"  A jakie źródło, bo moje dane to GUS,  pierwszy kwartał 2020, nie znalazłem świeższych danych. Poda Pan swoje źródło? Mi wychodzi z obliczeń że ok 8% pracujących zarabia najniższą krajową.",0.0,,,
111,Przeciętny Polak według danych GUS  ma wykształcenie zawodowe i na egzaminie kompetencyjnym z matematyki po szkole podstawowej osiągnął wynik 45% ...,0.0,,,
114," Adamczyk tak jak GUS. Tak dobierze liczby, aby służyły reżimowej propagandzie.",-1.0,,,
115,Fajny ten wasz wykres,1.0,,,
116,wcga  ok,0.0,,,
117,"Gdzie te inwestycje PiS, według GUS i Eurostatu to  ZERO+. Co oglądasz, że masz zaćmienie na ""Polskę w budowie"" z czasu PO-PSL. Stadionów nie widzi, autostrad i dróg ekspresowych, schetynówek, Pendolina i dworców, tys. km torów, przedszkoli, żłobków. Zmień kanał i prasę.  ",-1.0,,,
118,Idealnie podsumowane.,1.0,,,
119,"Jeszcze GUS se mnie upatrzył i przysłał jakiś syf do wypełnienia, z adnotacją, że łaski nie robię i jak się nie wywiążę to oni mi pokażą!",-1.0,,,
120,"Hej moots życzę wam miłego wieczorku, nocy!  A teraz idę spanko.   Dobranoooooooc moots, nmoots &lt;3",1.0,,,
121,"  Nie lubię propagandy sukcesu ale skoro podajemy dane wg metodologii GUS to podajmy je również z innych krajów wg metodologii GUS. Poza tym jak dużą poprawę widać w tym względzie na prowincji, że nawet przy ciągle 10% bezrobocia ludzie odbierają to jako niemal skokową poprawę.",-1.0,,,
122,Istne arcydzieło.,1.0,,,
123," Mam tak czasami, że mylę miejsca, gdzie mam wyrzucić xd",0.0,,,
124,Ślicznie wyglądasz!,1.0,,,
125,Dziękuję za odpowiedź!,1.0,,,
126,"Świat, gdyby nie Terfiarze, Terfki:  ",-1.0,,,
127,Jeżeli celem jest dorównanie Węgrom to wygląda to świetnie.,1.0,,,
128,Średnio zrozumiałem-,0.0,,,
129,"     to jest początek, zarzuciłem że liczba 208 szpitali jest manipulacją, co sama przyznałaś podając że 109. Dygresja do 100 szpitali w rok odnosiła się do zmiany metodologii GUS. A teraz życzę miłego wieczoru, ja idę po piwo :-)  ",1.0,,,
130,"Terfy, terfki lądują do kosza, a kosz ze śmieciami do śmierciarki.",-1.0,,,
131," Stopa bezrobocia w Polsce (za GUS) to 6,5% i nie jest ona najniższa w UE. Liczba bezrobotnych jest najwyższa od kwietnia 2018.  Niższe bezrobocie to nie zasługa elektoratu PiS tylko dużych miast, a tam głosuje się na opozycję. Tam gdzie poparcie PiS ma 60%+ bezrobocie wynosi 10%+  ",-1.0,,,
132," Dumny jestem z ciebie, buba!!!! ",1.0,,,
133,Nasz zespół zajął 2miejsce w BigData hackathon! Gratulujemy! Jesteście ciekawi co przygotowali? Odwiedźcie,1.0,,,
134,"     pani Alicja, znana specjalistka od liczb. Ten sam GUS:  ",1.0,,,
135,Mamy to! Nasza drużyna zajęła drugie miejsce w hackathonie!,1.0,,,
136,tak dokładnie jest. Liczy sie tez lokalny rynek pracy. Jesli jest ciasny i placa progowa wysoka to wartosc dodana bedzie automatycznie wyższa i to nie statystycznie (bo GUS cos alokuje) ale realnie bo firma np z SUI ma w fabryce w mscu X wartosc dodana równa place plus zysk 5%,0.0,,,
137," Tak ale nieruchomości podane przez GUS dzielą się na: lokalowe, zabudowane i niezabudowane. Jeżeli chodzi o wartość lokalowych to jest to kwota 65.306mln zł za 2019 rok.",0.0,,,
138,"Hej, mam takie małe pytanie.  Czym sie różni orientacja biseksualnosci od panseksualnosci?   Przepraszam, jeśli zadałem takowe głupie pytanie, ale ciekawi mnie to i chcę wiedzieć na czym to polega i czym się różnią między sobą? ",0.0,,,
139," Aaa, piękne szczurki owo",1.0,,,
140,"Mam wrażenie, ze angielski tylko dobrze mi poszedł, a reszta... szkoda gadac;;",-1.0,,,
141," nie mam do tego dostępu, ale mam dostęp do danych z 2019 z GUS: wartość ogółem sprzedaży nieruchomości: 121.728mln PLN i z NBP nowa sprzedaż kredytów hipotecznych (XII 2018-XI 2019): 53.567 mln PLN. Wychodzi z tego 55% niekredytowych i to jest imho twarde minimum 'gotówki'",0.0,,,
142,Bezrobotnych jest najwięcej od marca 2018. Tak się dzieje jak bazujesz na procentach.  Dane GUS:,0.0,,,
143,No właśnie widzę ze nie wszyscy wiedzą. Urzedy statystyczne wiedza co robia. Wystarczy przeczytać to co pisze gus czy eurostat by zrozumieć  ze produkt przypisywany jest do miejsca wytworzenia na podstawie jednostek lokalnych,0.0,,,
145,"  Tak, brak tej list w danych GUS od roku 2017. Aż 6,6% PKB jest poza kontrolą obywateli. Gorsza jest tylko Malta (22%) kilkanaście krajów nie ma z tym problemu gdyż wszystko jest pod kontrolą.",-1.0,,,
146," W spawie czyszczenia mają sukcesy, świetnie czyszczą budżet. Aż 150 miliardów znika rocznie z pola widzenia obywatela i nie wiadomo w czyjej kieszeni lądują, bo GUS zaprzestał publikowania listy beneficjentów.",-1.0,,,
147,Głęboka myśl,0.0,,,
148,"  O wiele ważniejsze jest, nie stopa bezrobocia, a ile to nowych miejsc pracy w sektorze prywatnym przybyło od czasu odjęcia władzy przez soc-etatystów?? A tu ogólnie w podmiotach gospodarki narodowej bo GUS nie publikuje danych wyodrębniając sektor prywatny od publicznego &gt;  ",0.0,,,
149,czyli np. mcdonald's czy inny lidl wysyła do gus kilkadziesiąt osobnych raportów wg podziału geograficznego?,0.0,,,
150,GUS już toto skomentował,0.0,,,
151,A teraz uwaga WOS Rafał będzie trudno....zestaw to z medianą danych z PIT. Podpowiem dane pochodzą z GUS który nie ujmuje w nich Mikro i małych firm oraz działalności gospodarczej jednoosobowej. Sprawdź potem o ile wzrosla kwota wolna od podatku przez te 10 lat,0.0,,,
152,Co tu się podziało !,0.0,,,
153,"Do 5 marca trwa bigdata - euBDhack. Zespół z Polski przygotował dashboard dotyczący wpływu COVID na handel, głównie pracując na zbiorach dotyczących handlu zagranicznego i transportu.       GUS statystyki  Zdjęcie:   ",0.0,,,
154," Od kiedy taki stan? Pytam z ciekawosci, bo wg GUS ta miejscowość w 2017 miała 6 378 mieszkańców. Licząc 2x365 dni ""pandemii"" To daje 730 osób rocznie, w tym tempie to za niecałe 9 lat nikt tam nie zostanie. A pandemia potrwa pewnie z 15 jak nie więcej.",0.0,,,
155,"  Jak się wejdzie na stronę GUS to można zobaczyć, ze liczba żłobków się podwoiła od 2015 r. To także zadaje kłam ciągłym lamentom, że brak jest pomocy w opiece nad dziećmi",-1.0,,,
156,1 kwietnia rozpocznie się Narodowy Spis Powszechny Ludności i Mieszkań . Udział w spisie jest obowiązkowy. MiastoJasło spispowszechny GUS statystyka,0.0,,,
157," Dane są fałszowane przez pisoski GUS. Było już? Mamy wojnę plemienną.. miedzy kibicami Legii a Wisły Kraków nikt nie patrzy na wynik... ""nasza drużyna najlepsza a jak nie to w mordę!""",-1.0,,,
159,"Liczby nie mogą kłamać, ale władze mogą - Analiza danych ONS i NHS podczas „śmiertelnej” pandemii.c ONS - odpowiednik GUS, NHS - odpowiednik NFZ. Do dzieła Szanowni Państwo, do dzieła. Kto potrafi, niech liczy. Także w Polsce LICZBY NIE MOGĄ KŁAMAĆ.  ",-1.0,,,
161," Z myśliwskich opowieści dziwnych treści: wyjadają całą zwierzynę, saren i jeleni już prawie nie ma - to warto zestawić ze statystykami GUS. Poza tym roznoszą ASF, bo jedzą dziki, ale kiedy trzeba to argument odwrotny: nie jedzą dzików, które robią szkody w rolnictwie.",0.0,,,
162,"Zachęcamy do korzystania z BankDanychLokalnych (BDL) - największego w Polsce uporządkowanego i udostępnianego w Internecie zbior.u informacji o sytuacji społeczno-gospodarczej, demograficznej, społecznej oraz stanie środowiska.  Więcej -    GUS BDL dane  ",0.0,,,
163,"  Czyli ministerstwo zawyża a Unia nam zaniża? Zrozum, że Unia liczy inaczej niż GUS.",0.0,,,
164,Poczekamy jak GUS opublikuje a potem dostaniesz w morde. Ja się do polskiej odnosiłem. Zaraz będą zwolnienia bo minie termin utrzymywania stanowisk pracy przez tych którzy środki pomocy pobrali.,-1.0,,,
165,Kolejna osoba która nie rozróżnia bezrobocia realnego (tego mierzonego właśnie przez Eurostat) od rejestrowanego (mierzonego przez GUS),-1.0,,,
166,"    gdzie dane GUS  nadal widzę że nie rozumiesz wiec zakończę te twoje męki  nad myśleniem, inżynierze po wieczorówce, są dwie metody liczenia bezrobocia(i nie tylko) unijna i polska,  Tak to sobie GW i TVN tłuki wychowuje a nie potem one te TŁUKI to bezmyślnie powtarzają",-1.0,,,
167,"   Bierze Pan pod uwagę, że to jest bezrobocie liczone przez Eurostat (tzw. realne) a nie to liczone przez GUS (rejestrowane) ?",0.0,,,
168,W artykule powołują się na dane GUS.,0.0,,,
169,"    TŁUKU gdzie GUS.? to po pierwsze a po drugie UE pisze o 3,1%",-1.0,,,
170,tłuku czekam na dane GUS,-1.0,,,
171,Czy to inflacja czy to powiązanie jakimś mnożnikiem z płacą minimalną albo średnią podawaną przez GUS.,0.0,,,
172,"    faktycznie to Tuba propagandowa dane GUS na które sie pajacu powoływałeś, dawaj",-1.0,,,
173,GUS: Na 1000 osób pracujących przypada już 860 osób bez pracy. Aktywność zawodowa Polaków niepokojąco spada  Super!,-1.0,,,
175,"    pajacu dawaj te dane GUS nadal nie wiem skąd taka rozbieżność a ty wiesz, może GW wytłumaczyła",-1.0,,,
176,Mopie ja odniosłem się do danych podawanych przez GUS i KIG.  A teraz kombinuj dlaczego w lutym i marcu bezrobocie wzrośnie.,-1.0,,,
177,a jak wyglądają dane wg NARODOWEGO GUS?,-1.0,,,
178,"    Uuuu, żebyś wiedziała jak PiS kradnie! Rocznie poza kontrolą znika 150 miliardów, Stopięćdziesiątmiliardów! Zacieranie śladów polega na tym, że GUS nie publikuje listy fundacji, instytutów i innych szemranych organizacji, gdzie to znika. To cię nie przeraża?",-1.0,,,
179," GUS podaje twarde dane - zarejestrowani bezrobotni. Eurostat ma swój sposób liczenia, zapewne zakładają, że 50% oszukuje urzędy pracy. Kłopot w tym, że dane GUS nie obejmują niezarejestrowanych, czyli de facto stopa jest wyższa. Czyli oszustów jest jeszcze więcej.",0.0,,,
180,Sam Spis jest obowiązkowy - przypomina . Obowiązkową formą jest samospis internetowy. Metody uzupełniające to spis telefoniczny lub bezpośrednio przy pomocy rachmistrza spisowego. Wszystko o NSP2021 na stronie,0.0,,,
